hit_id	replicon	position_hit	hit_sequence_length	gene_name
NC_017954.1_275	UserReplicon	275	168	RosmerTA_RmrA_2600853143
NC_017954.1_275	UserReplicon	275	168	RosmerTA_RmrA_2623274509
NC_017954.1_275	UserReplicon	275	168	RosmerTA_RmrA_2677172838
NC_017954.1_275	UserReplicon	275	168	RosmerTA_RmrA_2634882613
NC_017954.1_275	UserReplicon	275	168	RosmerTA_RmrA_2617826694
NC_017954.1_275	UserReplicon	275	168	RosmerTA_RmrA_2634932349
NC_017954.1_276	UserReplicon	276	399	IetA
NC_017954.1_283	UserReplicon	283	366	HerA_DUF
NC_017954.1_283	UserReplicon	283	366	DptH
NC_017954.1_300	UserReplicon	300	626	DptH
NC_017954.1_314	UserReplicon	314	930	PsyrTA_PsyrT
NC_017954.1_314	UserReplicon	314	930	cas3_I_2
NC_017954.1_314	UserReplicon	314	930	cas3_I_5
NC_017954.1_314	UserReplicon	314	930	Shango_SngC
NC_017954.1_314	UserReplicon	314	930	HamB
NC_017954.1_314	UserReplicon	314	930	brxHI
NC_017954.1_315	UserReplicon	315	663	SspD
NC_017954.1_315	UserReplicon	315	663	brxP
NC_017954.1_365	UserReplicon	365	1038	PsyrTA_PsyrT
NC_017954.1_365	UserReplicon	365	1038	cas3_I-D_4
NC_017954.1_365	UserReplicon	365	1038	Shango_SngC
NC_017954.1_414	UserReplicon	414	125	LmuB_SMC_Mrr
NC_017954.1_423	UserReplicon	423	160	Type_II_MTases
NC_017954.1_486	UserReplicon	486	229	ShosTA_ShosT
NC_017954.1_508	UserReplicon	508	247	ISG15-like_BilD
NC_017954.1_508	UserReplicon	508	247	AG_E1_ThiF
NC_017954.1_540	UserReplicon	540	299	Type_II_MTases
NC_017954.1_564	UserReplicon	564	730	IetA
NC_017954.1_58	UserReplicon	58	298	RosmerTA_RmrA_2603008502
NC_017954.1_58	UserReplicon	58	298	RosmerTA_RmrA_2664250653
NC_017954.1_597	UserReplicon	597	223	cas4_I_II_III_IV_V_VI_1
NC_017954.1_630	UserReplicon	630	338	Type_II_MTases
NC_017954.1_633	UserReplicon	633	882	PsyrTA_PsyrT
NC_017954.1_633	UserReplicon	633	882	Shango_SngC
NC_017954.1_633	UserReplicon	633	882	HamB
NC_017954.1_633	UserReplicon	633	882	brxHI
NC_017954.1_641	UserReplicon	641	444	DndA
NC_017954.1_67	UserReplicon	67	303	LmuB_SMC_Amidase
NC_017954.1_67	UserReplicon	67	303	LmuB_SMC_Hydrolase_protease
NC_017954.1_67	UserReplicon	67	303	LmuB_SMC_Mrr
NC_017954.1_67	UserReplicon	67	303	JetC_III
NC_017954.1_67	UserReplicon	67	303	JetC_II
NC_017954.1_691	UserReplicon	691	309	Type_II_MTases
NC_017954.1_72	UserReplicon	72	300	ShosTA_ShosT
NC_017954.1_73	UserReplicon	73	333	Type_II_MTases
NC_017954.1_77	UserReplicon	77	470	Cyclase_new
NC_017954.1_77	UserReplicon	77	470	Cyclase_II
NC_017954.1_77	UserReplicon	77	470	Cyclase_SMODS
NC_017954.1_795	UserReplicon	795	237	AAA_21
NC_017954.1_81	UserReplicon	81	404	Type_II_MTases
NC_017954.1_840	UserReplicon	840	214	AAA_21
NC_017954.1_86	UserReplicon	86	328	Dodola_DolB
NC_017954.1_875	UserReplicon	875	246	Mokosh_TypeI_MkoB2
NC_017954.1_880	UserReplicon	880	251	LmuB_SMC_Cap4_nuclease_II
NC_017954.1_944	UserReplicon	944	246	AAA_21
NC_017954.1_950	UserReplicon	950	456	AAA_21
NC_017954.1_962	UserReplicon	962	446	SspD
NC_017954.1_962	UserReplicon	962	446	brxP
NC_017954.1_98	UserReplicon	98	998	LmuB_SMC_Hydrolase_protease
